"DNA.1" "DNA.2" "DNA.3" "DNA.4" "DNA.5" "DNA.6" "RNA.1" "RNA.2" "RNA.3" "RNA.4" "RNA.5" "RNA.6" "group" "group2" "group3"
"chr5:138011742-138012142" 302 216 162 226 267 284 126 97 52 37 40 51 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:139016950-139017350" 0 0 5 0 0 1 0 0 0 0 0 0 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:140367576-140367976" 1312 799 1122 1394 1646 1426 4102 3633 2219 2079 1608 3941 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:140381469-140381869" 896 365 615 689 1142 932 1391 1161 826 687 416 1617 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:140456915-140457315" 355 166 235 287 425 346 894 790 498 519 496 1120 "d0_noncoding" "Neg" "Neg_1"
"chr5:141093415-141093815" 29449 28115 30382 35652 37574 31260 24306 25859 15533 15481 11895 30370 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:141186217-141186617" 29077 18656 26469 31044 38407 32230 12990 12727 8214 8009 2781 14657 "d0_noncoding" "Neg" "Neg_1"
"chr5:141218601-141219001" 4024 2170 3106 4086 4950 4063 10466 9793 5724 4934 5165 9091 "d0_noncoding" "Neg" "Neg_1"
"chr5:141449691-141450091" 991 797 890 1155 1002 1094 1792 2061 809 808 933 1432 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:141468514-141468914" 751 664 851 780 905 715 790 890 269 318 294 483 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:141566555-141566955" 1123 626 920 999 1515 1251 820 720 404 327 292 610 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:14156677-14157077" 63 24 59 39 61 72 42 30 15 15 22 28 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:142601846-142602246" 2605 2447 2675 3205 3292 2659 809 1103 529 426 380 707 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:142602336-142602736" 5455 5803 5328 6338 6693 5600 1405 1556 923 716 716 930 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:142623446-142623846" 21844 19651 23537 27380 30270 24930 33690 36615 17820 16466 15489 26936 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:142922288-142922688" 395 209 290 360 490 437 506 480 272 267 231 325 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:146168495-146168895" 197 72 105 163 193 214 124 165 93 74 107 139 "d0_noncoding" "Neg" "Neg_1"
"chr5:146196549-146196949" 725 886 940 1090 1245 905 1739 2125 1113 1053 1094 1493 "d0_noncoding" "Neg" "Neg_1"
"chr5:146771399-146771799" 730 426 663 805 802 803 468 553 314 279 403 455 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:146783792-146784192" 880 724 774 818 1054 946 1435 1503 1088 997 967 1706 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:146826023-146826423" 6011 6209 6374 7433 7242 6265 9204 10346 5232 5380 6018 7851 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:148677220-148677620" 586 551 524 595 681 568 203 361 150 168 162 224 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:149624990-149625390" 3285 2358 3079 3232 3988 3238 2461 2531 1509 1475 790 3324 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:149865163-149865563" 0 1 0 0 1 2 0 0 0 0 0 0 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:150051066-150051466" 1 2 0 4 3 0 0 0 0 0 0 0 "d0_exon_nonHHE" "Neg" "Neg_2"
"chr5:150529970-150530370" 558 454 518 563 603 501 337 323 162 175 131 328 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:150804717-150805117" 2580 2439 2556 2908 2823 2614 1339 1490 826 884 529 1252 "d0_noncoding" "Neg" "Neg_1"
"chr5:151007147-151007547" 2532 3536 3127 3805 2943 3141 2849 3122 1841 1630 1619 2206 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:151049584-151049984" 259 80 167 179 237 209 249 249 98 152 130 211 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:151078598-151078998" 2109 1465 2041 2304 2410 2198 4689 4785 1638 1623 1233 2882 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:151119355-151119755" 2626 1925 2216 2642 2961 2777 734 805 501 410 367 506 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:153273352-153273752" 4659 1924 3520 4229 6046 4774 1337 1485 754 739 475 1402 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:154076488-154076888" 92 28 47 69 110 68 220 107 165 89 98 178 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:154161914-154162314" 143 73 107 129 183 156 49 35 18 35 35 10 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:154174009-154174409" 74 30 69 44 77 97 171 200 123 88 126 180 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:154529525-154529925" 1854 1957 1891 2189 1986 1861 512 630 309 425 437 506 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:156998563-156998963" 983 600 787 870 1119 939 596 660 364 273 170 525 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:157034401-157034801" 629 451 546 632 752 586 265 290 129 126 169 240 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:157038047-157038447" 2045 1196 1479 1964 2516 1929 131 221 129 103 92 107 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:157567175-157567575" 1794 1774 1871 2362 2024 1623 5063 5617 3247 3395 3464 4487 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:157809473-157809873" 384 149 237 293 398 347 623 654 404 312 241 686 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:157873738-157874138" 9742 8312 8878 11028 12088 10014 11071 11638 6006 6133 5215 11578 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:159492221-159492621" 88 66 120 136 125 92 114 50 58 45 50 45 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:159498537-159498937" 506 417 516 607 561 514 706 698 367 383 392 565 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:159861014-159861414" 881 915 856 1113 1394 1011 82 105 85 98 77 100 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:162204507-162204907" 1239 1179 1100 1351 1656 1250 678 745 301 295 350 434 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:162209839-162210239" 427 133 284 367 402 421 589 530 399 299 417 629 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:162700775-162701175" 1825 1372 1720 1917 2344 1869 1216 1453 750 718 728 1128 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:162834027-162834427" 388 318 402 475 654 436 346 331 191 160 182 286 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:163500415-163500815" 1480 1217 1367 1691 1674 1398 1333 1657 822 724 932 1104 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:163505684-163506084" 591 497 472 571 719 634 726 809 437 374 409 526 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:163774059-163774459" 2616 2340 2453 3333 3355 2788 7336 7349 3960 3927 4487 6857 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:163780127-163780527" 26 3 12 16 32 34 19 9 20 18 24 30 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:164361742-164362142" 527 299 429 480 560 527 1569 1666 1011 816 852 1250 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:164368106-164368506" 440 209 289 352 455 456 764 855 599 575 714 964 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:164562561-164562961" 87 82 80 111 117 120 40 71 27 29 31 53 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:164570839-164571239" 523 277 426 462 713 553 839 785 394 335 369 743 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:164584221-164584621" 4215 4057 4056 4909 5275 4222 1270 1376 776 843 1023 1402 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:167792541-167792941" 4978 3356 4416 5199 6279 4932 4756 5016 2354 2483 1825 5004 "d0_noncoding" "Neg" "Neg_1"
"chr5:167899365-167899765" 334 228 331 384 504 405 978 1008 492 614 612 889 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:168431555-168431955" 15 26 11 25 22 17 8 1 4 12 8 6 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:168860301-168860701" 1144 1149 1276 1429 1438 1238 2327 2748 1344 1550 1203 2197 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:169235294-169235694" 2070 1329 1662 2171 2450 2024 2050 1843 1132 833 577 1437 "d0_noncoding" "Neg" "Neg_1"
"chr5:171296971-171297371" 5 2 1 7 12 5 13 0 1 7 3 4 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:171380843-171381243" 210 130 186 219 246 176 262 245 127 110 136 117 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:171529928-171530328" 2303 1963 2542 3059 3066 2746 2073 1855 1362 1539 1145 2689 "d0_noncoding" "Neg" "Neg_1"
"chr5:171530304-171530704" 1456 664 987 1386 1820 1646 399 349 194 192 120 365 "d0_noncoding" "Neg" "Neg_1"
"chr5:171968014-171968414" 538 295 384 521 597 516 462 563 254 257 176 501 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:171984136-171984536" 10085 7311 9398 10980 12750 10368 21718 23949 12555 12381 9980 22302 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:172143313-172143713" 288 167 202 234 349 229 293 273 155 147 143 257 "d0_noncoding" "Neg" "Neg_1"
"chr5:172692447-172692847" 1555 706 1036 1315 1659 1500 919 842 641 430 344 686 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:175822064-175822464" 335 242 256 280 431 319 444 452 233 246 90 508 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:176124891-176125291" 743 508 666 856 956 748 223 259 173 137 95 362 "d0_noncoding" "Neg" "Neg_1"
"chr5:176170275-176170675" 12 12 12 17 1 27 0 0 0 0 0 0 "d0_noncoding" "Neg" "Neg_1"
"chr5:176244471-176244871" 0 0 0 0 0 0 0 0 0 0 0 0 "d0_noncoding" "Neg" "Neg_1"
"chr5:176540870-176541270" 4164 3579 3981 5114 5379 4491 6235 7062 3430 3183 3418 5500 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:176580968-176581368" 1905 1724 1702 2419 2332 1970 1007 998 486 677 339 813 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:176621221-176621621" 11 1 0 4 10 4 11 1 5 3 0 19 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:177513338-177513738" 40 47 33 69 125 81 7 10 5 3 3 3 "d0_noncoding" "Neg" "Neg_1"
"chr5:177876119-177876519" 1883 972 1476 1702 2113 2009 855 947 467 408 386 879 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:177892214-177892614" 2359 1372 2007 2446 2932 2433 814 810 636 553 340 1127 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:178094112-178094512" 795 499 720 827 1004 787 1449 1621 828 699 989 1397 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:2738458-2738858" 110 49 74 84 111 105 167 159 95 94 44 174 "d0_noncoding" "Neg" "Neg_1"
"chr5:2756261-2756661" 111 76 84 92 93 115 10 12 5 3 13 14 "d0_noncoding" "Neg" "Neg_1"
"chr5:2805134-2805534" 477 252 368 486 655 543 168 177 93 68 55 217 "d0_noncoding" "Neg" "Neg_1"
"chr5:32028111-32028511" 67 34 44 66 92 54 255 188 130 144 135 251 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:32474317-32474717" 665 489 629 720 861 619 533 566 292 346 150 463 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:32505338-32505738" 66 24 49 27 62 52 15 23 9 10 8 19 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:37002189-37002589" 128 99 123 178 156 197 99 152 68 100 78 122 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:38607581-38607981" 177 85 102 130 217 156 29 35 27 19 12 43 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:38608275-38608675" 161 47 112 135 191 175 92 92 51 37 74 81 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:38695612-38696012" 843 453 636 825 1022 858 1847 2041 1210 970 1059 1803 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:38707749-38708149" 414 284 331 390 359 423 240 223 126 134 117 178 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:39437569-39437969" 58 23 24 37 41 48 86 65 81 40 62 69 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:39533363-39533763" 260 117 152 160 293 273 52 64 59 28 14 87 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:39533831-39534231" 4187 2651 3666 4365 4838 4283 2127 2093 1289 1047 981 2207 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:39599699-39600099" 2010 1232 1601 1969 2120 1892 785 1074 527 471 627 583 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:39624611-39625011" 334 190 248 315 317 279 157 209 102 89 89 113 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:39815808-39816208" 2023 748 1175 1677 2256 1918 1885 1620 975 921 1306 1401 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:4142944-4143344" 174 46 82 129 223 175 430 356 202 188 172 306 "d0_noncoding" "Neg" "Neg_1"
"chr5:41835749-41836149" 2531 1605 2154 2795 3576 2773 1746 1561 1079 855 830 1343 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:42491781-42492181" 276 133 247 346 374 384 698 516 325 375 342 579 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:42494524-42494924" 367 250 298 379 510 454 1160 1082 601 640 643 742 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:42591129-42591529" 452 382 390 437 551 469 566 636 329 376 409 614 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:42631442-42631842" 3534 4227 3554 3945 3903 3335 2477 2869 1876 1652 1926 1975 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:50218458-50218858" 1326 559 966 1126 1744 1332 36 42 11 15 63 58 "d0_noncoding" "Neg" "Neg_1"
"chr5:52908845-52909245" 76 19 51 58 109 94 53 21 19 23 32 51 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:54920875-54921275" 118 38 111 124 194 141 306 398 173 191 210 250 "d0_noncoding" "Neg" "Neg_1"
"chr5:54921326-54921726" 453 158 256 351 495 419 1173 971 649 568 410 1066 "d0_noncoding" "Neg" "Neg_1"
"chr5:55116312-55116712" 544 582 639 828 707 625 308 368 193 137 179 166 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:55161669-55162069" 8348 10148 9162 10607 10554 8724 5997 6206 3122 3414 3207 5889 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:56407832-56408232" 4094 4018 4019 5223 5066 4349 2498 2568 1162 1129 1082 2137 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:56448166-56448566" 676 737 666 804 811 801 593 716 364 382 443 517 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:56612628-56613028" 1669 2211 1975 2779 2570 2216 3111 2998 1623 1500 1319 2131 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:57312228-57312628" 624 231 485 638 821 652 589 410 247 252 226 594 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:57367335-57367735" 985 829 850 1096 1177 1077 612 735 389 381 317 634 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:57377008-57377408" 320 212 249 309 380 352 153 153 115 82 95 119 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:57413390-57413790" 401 217 337 458 554 509 136 135 88 101 94 180 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:57484069-57484469" 1535 976 1308 1542 1908 1640 1402 1327 778 600 789 1037 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:57535565-57535965" 158 88 103 130 213 145 146 178 100 93 72 85 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:61337187-61337587" 775 510 682 971 964 771 366 349 195 117 224 329 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:61389751-61390151" 262 258 262 329 393 324 161 183 92 48 112 144 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:64330675-64331075" 96 23 49 64 81 73 3 5 0 0 0 3 "d0_noncoding" "Neg" "Neg_1"
"chr5:64398337-64398737" 35 5 12 17 10 18 29 17 7 5 3 7 "d0_noncoding" "Neg" "Neg_1"
"chr5:65548628-65549028" 468 240 326 441 481 412 271 351 219 105 166 203 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:65738787-65739187" 761 505 688 824 1011 891 887 956 511 438 520 724 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:65846883-65847283" 357 118 180 233 409 341 360 221 163 165 242 221 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:66311451-66311851" 154 104 134 180 206 187 45 59 30 29 26 42 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:66335129-66335529" 3961 4298 4723 5112 5635 4600 6938 9431 4080 3926 4603 6481 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:67066359-67066759" 473 232 340 380 436 436 225 249 120 76 60 126 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:67101488-67101888" 1800 1776 1705 2217 2279 2093 867 1037 527 395 419 618 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:67253105-67253505" 3731 2264 2955 3791 4200 3752 2426 2234 1133 1000 1036 1900 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:67281505-67281905" 338 291 342 370 463 355 270 272 197 202 206 258 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:67404736-67405136" 365 205 339 377 424 401 420 503 200 205 237 282 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:67535314-67535714" 1430 1122 1332 1715 1820 1615 920 1019 479 371 525 681 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:67599586-67599986" 215 101 111 167 244 171 476 458 268 222 161 314 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:67715423-67715823" 755 497 693 878 1049 960 1285 1374 708 589 480 1226 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:67729806-67730206" 4574 3331 4400 5255 6063 4914 2782 2915 1556 1451 899 2567 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:67752477-67752877" 8 18 8 20 12 24 13 9 11 4 6 10 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:71251525-71251925" 5022 5411 5271 6200 6460 5838 1593 1837 856 783 773 1269 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:71268897-71269297" 2626 2111 2270 2899 3107 2541 5090 5054 2638 2361 2385 3533 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:71363498-71363898" 1188 699 875 1108 1203 1142 698 833 326 381 338 699 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:7262483-7262883" 1163 981 991 1275 1289 1160 750 803 357 325 312 642 "d0_noncoding" "Neg" "Neg_1"
"chr5:7263579-7263979" 2602 2229 2406 2967 3135 2600 5591 6113 3035 3186 3248 4644 "d0_noncoding" "Neg" "Neg_1"
"chr5:72666363-72666763" 146 98 120 136 188 145 167 131 56 63 56 108 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:72733031-72733431" 136 48 113 152 248 191 12 20 18 2 7 16 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:7365714-7366114" 576 197 304 450 613 521 259 293 168 149 168 338 "d0_noncoding" "Neg" "Neg_1"
"chr5:74112752-74113152" 38 12 21 52 30 34 18 22 22 7 14 12 "d0_noncoding" "Neg" "Neg_1"
"chr5:7420666-7421066" 181 76 127 125 172 137 70 116 60 57 33 63 "d0_noncoding" "Neg" "Neg_1"
"chr5:75604861-75605261" 259 162 229 323 218 218 169 180 89 100 87 154 "d0_noncoding" "Neg" "Neg_1"
"chr5:75723594-75723994" 3311 2430 3064 3739 3868 3586 7703 7207 4142 4021 3758 7842 "d0_noncoding" "Neg" "Neg_1"
"chr5:75795426-75795826" 245 68 152 244 293 272 315 285 166 127 183 307 "d0_noncoding" "Neg" "Neg_1"
"chr5:76034788-76035188" 2615 2328 2696 3238 3037 2779 1646 2040 816 737 582 1183 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:76103084-76103484" 808 459 634 770 972 798 662 726 421 341 418 624 "d0_noncoding" "Neg" "Neg_1"
"chr5:77108766-77109166" 267 176 237 352 238 214 611 754 314 312 266 574 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:77120221-77120621" 402 242 279 359 434 372 148 150 78 74 110 154 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:77175757-77176157" 66 4 24 28 72 58 29 8 18 17 2 56 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:77540999-77541399" 592 308 388 498 574 465 671 676 346 321 354 489 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:784397-784797" 0 0 0 0 0 0 0 0 0 0 0 0 "d0_noncoding" "Neg" "Neg_1"
"chr5:78789451-78789851" 264 207 232 269 298 251 179 226 138 104 145 158 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:79393396-79393796" 702 454 577 750 871 635 191 209 119 89 68 213 "d0_noncoding" "Neg" "Neg_1"
"chr5:79405612-79406012" 678 534 581 790 950 758 951 889 508 419 330 933 "d0_noncoding" "Neg" "Neg_1"
"chr5:79997335-79997735" 143 68 70 96 121 116 348 196 237 218 171 317 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:80094454-80094854" 370 268 306 393 437 390 380 474 230 220 172 226 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:80922240-80922640" 622 432 503 589 732 697 608 638 312 289 277 362 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:81014117-81014517" 1676 1072 1382 1824 2154 1908 803 1015 515 394 615 793 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:8115009-8115409" 195 92 125 190 226 223 741 651 363 329 365 812 "d0_noncoding" "Neg" "Neg_1"
"chr5:82700070-82700470" 375 207 257 442 460 452 566 544 278 264 354 489 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:82872858-82873258" 75 8 29 23 49 53 108 35 48 67 77 122 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:86596576-86596976" 196 152 169 259 288 261 96 90 56 43 53 98 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:87014052-87014452" 38 5 10 26 38 39 14 3 6 12 1 26 "d0_noncoding" "Neg" "Neg_1"
"chr5:87066543-87066943" 293 188 249 353 336 312 40 57 25 25 16 22 "d0_noncoding" "Neg" "Neg_1"
"chr5:87083411-87083811" 285 158 247 258 393 323 356 356 148 165 241 284 "d0_noncoding" "Neg" "Neg_1"
"chr5:88081642-88082042" 137 32 85 103 226 182 80 39 47 44 48 102 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:88339464-88339864" 28 7 10 15 35 30 7 4 10 12 3 8 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:88425025-88425425" 633 397 521 644 840 657 138 147 100 85 68 160 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:88484782-88485182" 670 300 424 551 613 566 284 330 170 126 227 221 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:88580263-88580663" 946 434 606 772 815 680 983 1019 529 425 519 602 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:88609588-88609988" 537 457 467 663 662 612 965 1088 536 586 527 704 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:89559422-89559822" 471 232 361 460 484 467 766 955 455 467 446 617 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr5:89622823-89623223" 778 601 742 936 1033 805 341 436 223 205 249 361 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
